2024-06-04 11:37:05.076 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Starting RedisTests using Java 17.0.11 with PID 6768 (started by 0 in C:\Users\0\Desktop\大学资料\专业课\小红书项目_springcloud\xiaohongshu_springcloud\xiaohongshu\xiaohongshu-auth)
2024-06-04 11:37:05.079 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - The following 1 profile is active: "dev"
2024-06-04 11:37:05.771 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-04 11:37:05.773 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-04 11:37:05.811 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2024-06-04 11:37:06.946 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-06-04 11:37:07.285 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-06-04 11:37:07.635 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Started RedisTests in 2.992 seconds (process running for 3.9)
2024-06-04 11:37:08.803 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-06-04 11:37:08.810 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-06-04 11:42:44.284 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Starting RedisTests using Java 17.0.11 with PID 22936 (started by 0 in C:\Users\0\Desktop\大学资料\专业课\小红书项目_springcloud\xiaohongshu_springcloud\xiaohongshu\xiaohongshu-auth)
2024-06-04 11:42:44.287 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - The following 1 profile is active: "dev"
2024-06-04 11:42:44.999 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-04 11:42:45.003 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-04 11:42:45.036 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2024-06-04 11:42:46.137 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-06-04 11:42:46.484 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-06-04 11:42:46.815 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Started RedisTests in 2.975 seconds (process running for 3.913)
2024-06-04 11:42:47.713 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-06-04 11:42:47.721 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-06-04 11:46:55.304 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Starting RedisTests using Java 17.0.11 with PID 23328 (started by 0 in C:\Users\0\Desktop\大学资料\专业课\小红书项目_springcloud\xiaohongshu_springcloud\xiaohongshu\xiaohongshu-auth)
2024-06-04 11:46:55.305 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - The following 1 profile is active: "dev"
2024-06-04 11:46:56.036 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-04 11:46:56.040 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-04 11:46:56.070 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
2024-06-04 11:46:57.208 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-06-04 11:46:57.537 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-06-04 11:46:57.859 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Started RedisTests in 2.987 seconds (process running for 3.914)
2024-06-04 11:46:58.741 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2024-06-04 11:46:58.748 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2024-06-04 11:52:36.770 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - Starting RedisTests using Java 17.0.11 with PID 25904 (started by 0 in C:\Users\0\Desktop\大学资料\专业课\小红书项目_springcloud\xiaohongshu_springcloud\xiaohongshu\xiaohongshu-auth)
2024-06-04 11:52:36.773 [main] INFO  com.zx.xiaohongshu.auth.RedisTests - The following 1 profile is active: "dev"
2024-06-04 11:52:37.520 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-06-04 11:52:37.524 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-06-04 11:52:37.557 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2024-06-04 11:52:38.683 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-06-04 11:52:39.050 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
